Text	Intents	States	Slots
i need a reservation for next monday at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O B-date I-date O B-time I-time 	1
yes	O	AFFIRM	O 	0
the giants ' schedule	O	OTHER	O O O O 	0
the restaurant is sakoon , and there will be 2 of us	O	INFORM	O O O B-restaurant_name O O O O O B-num_people O O 	0
sorry , no	O	NEGATE	O O O 	0
thanks	O	THANK_YOU+GOOD_BYE	O 	0
can you make a dinner reservation for wednesday at 6 pm	RESERVE_RESTAURANT	O	O O O O O O O B-date O B-time I-time 	1
for 3 at pompei	O	INFORM	O B-num_people O B-restaurant_name 	0
yes , that ' s right	O	AFFIRM	O O O O O O 	0
bye	O	GOOD_BYE	O 	0
i need a restaurant reservation for 7.30 pm	RESERVE_RESTAURANT	O	O O O O O O B-time I-time 	1
it is for next monday , 3 people and the restaurant in oren hummus	O	INFORM	O O O B-date I-date O B-num_people O O O O O B-restaurant_name I-restaurant_name 	0
i don ' t undersand	O	CANT_UNDERSTAND	O O O O O 	0
bye	O	GOOD_BYE	O 	0
hi can you find a restaurant in redmond	FIND_RESTAURANT	GREETING	O O O O O O O B-location 	1
a moderately priced amount	O	INFORM	O B-price_range I-price_range O 	0
ephesus	O	AFFIRM	B-restaurant_name 	0
hi ! can you reserve me a table for 6 tomorrow at 5.30 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-num_people B-date O B-time I-time 	1
the restaurant is sumiko	O	INFORM	O O O B-restaurant_name 	0
ok thanks goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi . can you reserve a restaurant at 5.30 pm for me	RESERVE_RESTAURANT	GREETING	O O O O O O O O B-time I-time O O 	1
the date is actually next monday at cheese cake factory and it ' ll be for 3 people	O	INFORM	O O O O B-date I-date O B-restaurant_name I-restaurant_name I-restaurant_name O O O O O O B-num_people O 	0
we actually can ' t do it then . are there any other openings	O	NEGATE	O O O O O O O O O O O O O O 	0
that won ' t work either . what else is available	O	NEGATE	O O O O O O O O O O O 	0
ok , we ' ll figure out something else . thanks . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O O O O O O 	0
i ' d like to book a restaurant reservation for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O O O B-time I-time 	1
yep	O	AFFIRM	O 	0
tomorrow . 5 people	O	INFORM	B-date O B-num_people O 	0
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
none of those work	O	NEGATE	O O O O 	0
yes please	O	AFFIRM	O O 	0
bye	O	GOOD_BYE	O 	0
hi ! make reservation at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O B-time I-time 	1
wednesday and 5 people	O	INFORM	B-date O B-num_people O 	0
sumiko restaurant	O	INFORM	B-restaurant_name O 	0
time is 7.30 pm	O	AFFIRM	O O B-time I-time 	0
thanks	O	THANK_YOU	O 	0
hi ! i want to make a reservation at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
the date is next monday and the time is 8 pm for the pompei restaurant with 4 people in the party	O	INFORM	O O O B-date I-date O O O O B-time I-time O O B-restaurant_name O O B-num_people O O O O 	0
thanks ! goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
find nearby restaurants	FIND_RESTAURANT	O	O O O 	1
any kind is fine . i need a location near madison	O	INFORM	O O O O O O O O O O B-location 	0
i didn ' t understand the options . could you tell me them again	O	CANT_UNDERSTAND	O O O O O O O O O O O O O O 	0
i am going to choose amarin	O	AFFIRM	O O O O O B-restaurant_name 	0
make a restaurant reservation for next monday at 5.30 pm	RESERVE_RESTAURANT	O	O O O O O B-date I-date O B-time I-time 	1
cascal	O	INFORM	B-restaurant_name 	0
3	O	INFORM	B-num_people 	0
no	O	NEGATE	O 	0
ok , thank you goodbye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
hi , what ' s a restaurant on kirkland	FIND_RESTAURANT	GREETING	O O O O O O O O B-location 	1
thai food , please	O	INFORM	B-category O O O 	0
i ' ll take pompei , please	O	AFFIRM	O O O O B-restaurant_name O O 	0
hello , i ' d like to make reservations to a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O 	1
the number of people is 5 and the restaurant is called sakoon	O	INFORM	O O O O O B-num_people O O O O O B-restaurant_name 	0
yes , at 7.15 pm	O	INFORM	O O O B-time I-time 	0
the date is tomorrow	O	INFORM	O O O B-date 	0
yes , i agree that tomorrow is the right date	O	AFFIRM	O O O O O B-date O O O O 	0
i ' ll take 8.30 pm	O	AFFIRM	O O O O B-time I-time 	0
goodbye	O	GOOD_BYE	O 	0
hi ! can you reserve a restaurant for wednesday for 3 people	RESERVE_RESTAURANT	GREETING	O O O O O O O O B-date O B-num_people O 	1
sakoon	O	INFORM	B-restaurant_name 	0
it doesn ' t matter	O	INFORM	O O O O O 	0
6 pm works	O	AFFIRM	B-time I-time O 	0
bye	O	GOOD_BYE	O 	0
hi ! please reserve table at restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O 	1
next monday	O	INFORM	B-date I-date 	0
yes , next monday	O	AFFIRM	O O B-date I-date 	0
sumiko	O	INFORM	B-restaurant_name 	0
yes , sumiko	O	AFFIRM	O O B-restaurant_name 	0
6	O	INFORM	B-num_people 	0
yes , 6	O	AFFIRM	O O B-num_people 	0
7.15 pm	O	INFORM	B-time I-time 	0
yes , all details are correct	O	AFFIRM	O O O O O O 	0
thanks and goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello , find me an inexpensive dinner restaurant in madison	FIND_RESTAURANT	GREETING	O O O O O B-price_range B-meal O O B-location 	1
yes	O	AFFIRM	O 	0
los altos grill works	O	AFFIRM	B-restaurant_name I-restaurant_name I-restaurant_name O 	0
hi , i want to book a table for 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
make it for tomorrow and for 5 people	O	INFORM	O O O B-date O O B-num_people O 	0
yes you do	O	AFFIRM	O O O 	0
bye	O	GOOD_BYE	O 	0
hey , find me a restaurant	FIND_RESTAURANT	GREETING	O O O O O O 	1
thai sounds good	O	INFORM	B-category O O 	0
i ' d like a michelin rated expensive place in redmond	O	INFORM	O O O O O B-rating I-rating B-price_range O O B-location 	0
breakfast	O	INFORM	B-meal 	0
sakoon please	O	AFFIRM	B-restaurant_name O 	0
i want to make reservations	RESERVE_RESTAURANT	O	O O O O O 	1
7.15 pm	O	INFORM	B-time I-time 	0
pompei	O	INFORM	B-restaurant_name 	0
2	O	INFORM	B-num_people 	0
yes , 2	O	AFFIRM	O O B-num_people 	0
tomorrow	O	INFORM	B-date 	0
no that won ' t work	O	NEGATE	O O O O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
i ' m going to have 6 people on next monday	O	INFORM	O O O O O O B-num_people O O B-date I-date 	0
yes , please	O	AFFIRM	O O O 	0
at il fornaio , please	O	INFORM	O B-restaurant_name I-restaurant_name O O 	0
8 pm will work	O	INFORM	B-time I-time O O 	0
yes , please	O	AFFIRM	O O O 	0
sorry , that time doesn ' t work . don ' t ' book it	O	NEGATE	O O O O O O O O O O O O O O O 	0
ok . thanks , bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
8 pm tomorrow	O	INFORM	B-time I-time B-date 	0
5 people for il fornaio	O	INFORM	B-num_people O O B-restaurant_name I-restaurant_name 	0
nevermind	O	NEGATE	O 	0
book me a table for 7.30 pm friday	RESERVE_RESTAURANT	O	O O O O O B-time I-time B-date 	1
yes	O	AFFIRM	O 	0
2 for the los altos grill	O	INFORM	B-num_people O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
no way	O	NEGATE	O O 	0
thanks ! nevermind	O	THANK_YOU	O O O 	0
i ' d like to get a table at a restaurant on friday	RESERVE_RESTAURANT	O	O O O O O O O O O O O O B-date 	1
i ' d like a table at sushi boat for 4 people	O	INFORM	O O O O O O O B-restaurant_name I-restaurant_name O B-num_people O 	0
anytime would be fine	O	INFORM	O O O O 	0
that ' s a shame , thank you , though . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O O O O O 	0
hello i ' d like to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
6	O	INFORM	B-num_people 	0
sakoon	O	INFORM	B-restaurant_name 	0
anytime	O	INFORM	O 	0
next monday	O	INFORM	B-date I-date 	0
yes	O	AFFIRM	O 	0
thank you good bye	O	THANK_YOU+GOOD_BYE	O O O O 	0
dinner at restaurant in morristown	FIND_RESTAURANT	O	B-meal O O O B-location 	1
expensive italian dining	O	INFORM	B-price_range B-category O 	0
i ' ll take amarin	O	AFFIRM	O O O O B-restaurant_name 	0
hi can you make me a reservation for a restaurant next monday	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-date I-date 	1
6 people , oren hummus restaurant	O	INFORM	B-num_people O O B-restaurant_name I-restaurant_name O 	0
whatever is available is fine	O	INFORM	O O O O O 	0
none of those	O	NEGATE	O O O 	0
yes please	O	AFFIRM	O O 	0
thank you and goodbye	O	THANK_YOU+GOOD_BYE	O O O O 	0
hi , i want to reserve a table for 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
this is for friday at sakoon restaurant . there are 6 people	O	INFORM	O O O B-date O B-restaurant_name O O O O B-num_people O 	0
ok , i ' ll take 5 pm	O	AFFIRM	O O O O O O B-time I-time 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
i ' d like to make a reservation	RESERVE_RESTAURANT	O	O O O O O O O O 	1
this friday	O	INFORM	O B-date 	0
6 pm	O	INFORM	B-time I-time 	0
3 for oren hummus	O	INFORM	B-num_people O B-restaurant_name I-restaurant_name 	0
yes that ' s correct ,	O	AFFIRM	O O O O O O 	0
have a good day	O	GOOD_BYE	O O O O 	0
hi ! i want to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
5.30 pm at the sushi boat	O	INFORM	B-time I-time O O B-restaurant_name I-restaurant_name 	0
tomorrow for 2 people	O	INFORM	B-date O B-num_people O 	0
i don ' t like those times	O	NEGATE	O O O O O O O 	0
thanks	O	THANK_YOU	O 	0
i want to reserve a restaurant on friday	RESERVE_RESTAURANT	O	O O O O O O O B-date 	1
yes	O	AFFIRM	O 	0
sakoon for 4 people	O	INFORM	B-restaurant_name O B-num_people O 	0
i do not care	O	INFORM	O O O O 	0
none of those	O	NEGATE	O O O 	0
that works	O	AFFIRM	O O 	0
thank you	O	THANK_YOU	O O 	0
i need to find the name of a restaurant	FIND_RESTAURANT	O	O O O O O O O O O 	1
french restaurant in yorktown heights	O	INFORM	B-category O O B-location I-location 	0
yes , yorktown heights	O	AFFIRM	O O B-location I-location 	0
i forgot to tell you that it is an inexpensive restaurant	O	INFORM	O O O O O O O O O B-price_range O 	0
the name i was looking for is sakoon	O	AFFIRM	O O O O O O O B-restaurant_name 	0
i want to make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O O O 	1
i ' d like sushi boat with 5 people total	O	INFORM	O O O O B-restaurant_name I-restaurant_name O B-num_people O O 	0
i ' d like it for next monday	O	INFORM	O O O O O O B-date I-date 	0
6 pm	O	INFORM	B-time I-time 	0
that ' s right . i want a table at sushi boat next monday at 6 pm for 5 people	O	AFFIRM	O O O O O O O O O O B-restaurant_name I-restaurant_name B-date I-date O B-time I-time O B-num_people O 	0
bye	O	GOOD_BYE	O 	0
hi , i ' d like to make a reservation at a restaurant next monday for 2 people	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O O B-date I-date O B-num_people O 	1
the restaurant is sumiko , and the time doesn ' t matter	O	INFORM	O O O B-restaurant_name O O O O O O O O 	0
ok , can you see if they have seating on wednesday	O	INFORM	O O O O O O O O O O B-date 	0
yes - same details but on wednesday	O	AFFIRM	O O O O O O B-date 	0
none of those times work for me	O	NEGATE	O O O O O O O 	0
that works for me	O	AFFIRM	O O O O 	0
ok , and goodbye	O	GOOD_BYE	O O O O 	0
i would like you to find me some restaurants	FIND_RESTAURANT	O	O O O O O O O O O 	1
expensive	O	INFORM	B-price_range 	0
i would like thai food . and near madison	O	INFORM	O O O B-category O O O O B-location 	0
pompei sounds good	O	AFFIRM	B-restaurant_name O O 	0
i would like to reserve a table for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
for friday at sumiko and there will be 5 people	O	INFORM	O B-date O B-restaurant_name O O O O B-num_people O 	0
thank you	O	THANK_YOU	O O 	0
hi ! find me some restaurants	FIND_RESTAURANT	GREETING	O O O O O O 	1
how about moderately priced ones	O	INFORM	O O B-price_range I-price_range O 	0
yes please	O	AFFIRM	O O 	0
orlando	O	INFORM	B-location 	0
show me sakoon	O	AFFIRM	O O B-restaurant_name 	0
can you book a table for 8 pm	RESERVE_RESTAURANT	O	O O O O O O B-time I-time 	1
tomorrow at pompei	O	INFORM	B-date O B-restaurant_name 	0
6	O	INFORM	B-num_people 	0
yes	O	AFFIRM	O 	0
thanks , later . bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
hi . i want a vietnamese restaurant in mountain view	FIND_RESTAURANT	GREETING	O O O O O B-category O O B-location I-location 	1
yeah how bout ephesus	O	AFFIRM	O O O B-restaurant_name 	0
hi , i would like to make a reservation at a restaurant for friday at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O O B-date O B-time I-time 	1
i need it for 6 people at pompei	O	INFORM	O O O O B-num_people O O B-restaurant_name 	0
yes , i confirm that i would like a reservation at pompei friday at 7.15 pm for 6 people	O	AFFIRM	O O O O O O O O O O O B-restaurant_name B-date O B-time I-time O B-num_people O 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
reserve dinner for 5 at 6 pm tonight	RESERVE_RESTAURANT	O	O O O B-num_people O B-time I-time B-date 	1
amarin	O	INFORM	B-restaurant_name 	0
no	O	NEGATE	O 	0
i don ' t understand you	O	CANT_UNDERSTAND	O O O O O O 	0
thank you	O	THANK_YOU	O O 	0
can you book me a table for next monday	RESERVE_RESTAURANT	O	O O O O O O O B-date I-date 	1
reservation is for 4 people at the cheese cake factory	O	INFORM	O O O B-num_people O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
i don ' t care	O	INFORM	O O O O O 	0
i dont care	O	INFORM	O O O 	0
those aren ' t good for me	O	NEGATE	O O O O O O O 	0
anything else available	O	REQUEST_ALTS	O O O 	0
goodbye	O	GOOD_BYE	O 	0
i need a restaurant reservation at 8 pm	RESERVE_RESTAURANT	O	O O O O O O B-time I-time 	1
oren hummus	O	INFORM	B-restaurant_name I-restaurant_name 	0
4	O	INFORM	B-num_people 	0
yes , 4	O	AFFIRM	O O B-num_people 	0
friday	O	INFORM	B-date 	0
neither will work	O	NEGATE	O O O 	0
let ' s try wednesday	O	INFORM	O O O O B-date 	0
yes . wednesday at 8 pm for 4 at oren hummus	O	AFFIRM	O O B-date O B-time I-time O B-num_people O B-restaurant_name I-restaurant_name 	0
let ' s try the amber india	O	INFORM	O O O O O B-restaurant_name I-restaurant_name 	0
sounds good . bye	O	GOOD_BYE	O O O O 	0
find restaurant for brunch	FIND_RESTAURANT	O	O O O B-meal 	1
find an inexpensive italian restaurant in los altos	O	INFORM	O O B-price_range B-category O O B-location I-location 	0
ephesus	O	AFFIRM	B-restaurant_name 	0
i need to make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O O O 	1
wednesday at pompei	O	INFORM	B-date O B-restaurant_name 	0
3 people , 6 pm	O	INFORM	B-num_people O O B-time I-time 	0
yeah , that ' s fine	O	AFFIRM	O O O O O O 	0
great , thanks ! bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
i need a reservation for 3 next monday at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O B-num_people B-date I-date O B-time I-time 	1
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
that ' s correct . 3 people for next monday at amber india at 7.15 pm	O	AFFIRM	O O O O O B-num_people O O B-date I-date O B-restaurant_name I-restaurant_name O B-time I-time 	0
thank you and good bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
i want to reserve a restaurant for tomorrow at 6 pm	RESERVE_RESTAURANT	O	O O O O O O O B-date O B-time I-time 	1
for 6 people	O	INFORM	O B-num_people O 	0
yes for 6 people	O	AFFIRM	O O B-num_people O 	0
ephesus	O	INFORM	B-restaurant_name 	0
yes it ' s for 6 people for tomorrow at ephesus for 6 pm	O	AFFIRM	O O O O O B-time O O B-date O B-restaurant_name O B-time I-time 	0
thanks and bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi , can you find restaurants that serve breakfast	FIND_RESTAURANT	GREETING	O O O O O O O O B-meal 	1
yes , indian restaurants that are expensive	O	INFORM	O O B-category O O O B-price_range 	0
i would like to go to ephesus restaurant	O	AFFIRM	O O O O O O B-restaurant_name O 	0
i ' d like to make a reservation at a restaurant for 6 pm	RESERVE_RESTAURANT	O	O O O O O O O O O O O O B-time I-time 	1
i ' d like it for tomorrow and it will be for 5 people at sushi boat	O	INFORM	O O O O O O B-date O O O O O B-num_people O O B-restaurant_name I-restaurant_name 	0
thanks	O	THANK_YOU	O 	0
reserve restaurant tomorrow at 8 pm	RESERVE_RESTAURANT	O	O O B-date O B-time I-time 	1
yes	O	AFFIRM	O 	0
sumiko	O	INFORM	B-restaurant_name 	0
yes	O	AFFIRM	O 	0
2	O	INFORM	B-num_people 	0
correct	O	AFFIRM	O 	0
no	O	NEGATE	O 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi ! i would like to make a reservation at a restaurant for wednesday	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O O B-date 	1
los altos grill and there will be 6 people	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-num_people O 	0
any time is fine	O	INFORM	O O O O 	0
can you reserve a table for tonight at 8 pm	RESERVE_RESTAURANT	O	O O O O O O B-date O B-time I-time 	1
a table for 5 at los altos grill please	O	INFORM	O O O B-num_people O B-restaurant_name I-restaurant_name I-restaurant_name O 	0
i still want 8 pm	O	NEGATE	O O O O O 	0
change the time to 6 pm	O	INFORM	O O O O B-time I-time 	0
no	O	NEGATE	O 	0
change the time to 7.15 pm	O	INFORM	O O O O B-time I-time 	0
no	O	NEGATE	O 	0
okay	O	AFFIRM	O 	0
thank you	O	THANK_YOU	O O 	0
hi ! would like to make reservations at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O 	1
3 people , sumiko restaurant tomorrow at 6 pm	O	INFORM	B-num_people O O B-restaurant_name O B-date O B-time I-time 	0
yes that ' s correct	O	AFFIRM	O O O O O 	0
bye	O	GOOD_BYE	O 	0
hi , i would like to make a reservation at il fornaio restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-restaurant_name I-restaurant_name O 	1
the reservation is for next monday and is for 3 people at il fornaio	O	INFORM	O O O O B-date I-date O O O B-num_people O O B-restaurant_name I-restaurant_name 	0
i am sorry . i did not understand that	O	CANT_UNDERSTAND	O O O O O O O O O 	0
reservation is for 7 pm	O	INFORM	O O O B-time I-time 	0
yes , please	O	AFFIRM	O O O 	0
ok , 7.15 pm would work	O	AFFIRM	O O B-time I-time O O 	0
goodbye	O	GOOD_BYE	O 	0
find me a nearby restaurant	FIND_RESTAURANT	O	O O O O O 	1
an expensive restaurant in madison	O	INFORM	O B-price_range O O B-location 	0
no	O	NEGATE	O 	0
i want inexpensive restaurants	O	INFORM	O O B-price_range O 	0
yes , inexpensive restaurants	O	AFFIRM	O O B-price_range O 	0
i want greek , michelin rated restaurants	O	INFORM	O O B-category O B-rating I-rating O 	0
i didn ' t understand you	O	CANT_UNDERSTAND	O O O O O O 	0
i didn ' t understand you	O	CANT_UNDERSTAND	O O O O O O 	0
no	O	NEGATE	O 	0
how about in los altos	O	INFORM	O O O B-location I-location 	0
yes , los altos	O	AFFIRM	O O B-location I-location 	0
i want other choices	O	REQUEST_ALTS	O O O O 	0
how about restaurants with a good rating	O	INFORM	O O O O O B-rating O 	0
pompei	O	AFFIRM	B-restaurant_name 	0
hello , i would like to make a reservation for 7 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-time I-time 	1
the restaurant ' s name is sushi boat . i need this for next monday	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name O O O O O B-date I-date 	0
i need a table for 2	O	INFORM	O O O O O B-num_people 	0
7.15 pm is fine	O	AFFIRM	B-time I-time O O 	0
thank you	O	THANK_YOU	O O 	0
find me a inexpensive thai restaurant in morristown	FIND_RESTAURANT	O	O O O B-price_range B-category O O B-location 	1
yes it is	O	AFFIRM	O O O 	0
ok ephesus is good	O	AFFIRM	O B-restaurant_name O O 	0
hi ! i would like you to make a restaurant reservation for 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O B-time I-time 	1
make it for next monday at ephesus	O	INFORM	O O O B-date I-date O B-restaurant_name 	0
5	O	INFORM	B-num_people 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
i want to make a reservation for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O B-time I-time 	1
i want to make the reservation for 4 people on friday at pompei restaurant	O	INFORM	O O O O O O O B-num_people O O B-date O B-restaurant_name O 	0
yes	O	AFFIRM	O 	0
bye	O	GOOD_BYE	O 	0
hi i want to find a restaurant in orlando	FIND_RESTAURANT	GREETING	O O O O O O O O B-location 	1
i want french food and any meal type is fine	O	INFORM	O O B-category O O O O O O O 	0
pompei sounds good	O	AFFIRM	B-restaurant_name O O 	0
make reservation for tomorrow at 7.15 pm	RESERVE_RESTAURANT	O	O O O B-date O B-time I-time 	1
party of 6	O	INFORM	O O B-num_people 	0
yes party of 6	O	AFFIRM	O O O B-num_people 	0
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
thanks ! bye	O	GOOD_BYE	O O O 	0
i need a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O 	1
2	O	INFORM	B-num_people 	0
the restaurant is cetrella , and i need the reservation for tomorrow	O	INFORM	O O O B-restaurant_name O O O O O O O B-date 	0
7.30 pm	O	INFORM	B-time I-time 	0
i can ' t do any of those	O	NEGATE	O O O O O O O O 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
hello i ' d like to make reserve at sumiko restaurant for this friday at 5.30 pm for 3 people	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-restaurant_name O O O B-date O B-time I-time O B-num_people O 	1
no those times won ' t work	O	NEGATE	O O O O O O O 	0
no not those either	O	NEGATE	O O O O 	0
